"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1064791673907990528","","","2018-11-20 08:04:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AREI22380279: 気晴らしに紅葉見に行ったけどシーズン終わってて少し残念 https://t.co/e78nB2e0Mm","1064766722719137792","746974558075289601","2018-11-20 06:25:43 +0000","https://twitter.com/AREI22380279/status/1064766722719137792/photo/1,https://twitter.com/AREI22380279/status/1064766722719137792/photo/1"
"1064756292189736960","","","2018-11-20 05:44:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @hidama_pser: 日産の株wwwwwwwwwwwwwwwwwwwww https://t.co/11Xd2VpGEv","1064672153369436160","715051933283848192","2018-11-20 00:09:56 +0000","https://twitter.com/hidama_pser/status/1064672153369436160/photo/1,https://twitter.com/hidama_pser/status/1064672153369436160/photo/1"
"1064755200160751616","","","2018-11-20 05:39:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @maitetsu_ps: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるように…","1064748140719366144","955634114115223552","2018-11-20 05:11:53 +0000","https://maitetsucs.com,https://twitter.com/maitetsu_ps/status/1064748140719366144/photo/1"
"1064551773065555968","","","2018-11-19 16:11:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @neko_vtuber: Fallout76で拾った伝説の武器「参加/招待に失敗しました。もう一度お試しください。エンハこの場所ではリスポーンできませんサマーセットスペシャル」です。 https://t.co/pvgQGja7Lc","1064218559100837889","993076571794685952","2018-11-18 18:07:31 +0000","https://twitter.com/neko_vtuber/status/1064218559100837889/photo/1,https://twitter.com/neko_vtuber/status/1064218559100837889/photo/1"
"1064549523588997120","","","2018-11-19 16:02:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @otomiyamogito: 冬アリア https://t.co/0mZGjI4w4d","1064519327544598528","173836246","2018-11-19 14:02:40 +0000","https://twitter.com/otomiyamogito/status/1064519327544598528/photo/1,https://twitter.com/otomiyamogito/status/1064519327544598528/photo/1"
"1064490270484389888","","","2018-11-19 12:07:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CHiBi_officiaI: 教科書の内容を黒板に写して読み上げるだけのクソみたいな授業するぐらいだったら、『授業するのダルい』とか『排水溝にハマって骨折した』とか適当な理由で毎週休講にして、ラボで好きなだけご自分の研究でもしといてくださいよ。准教授。

でも単位はく…","1064343862959697922","710392883468115969","2018-11-19 02:25:26 +0000",""
"1064454306248544256","","","2018-11-19 09:44:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Xin_Games: 一番やりたかった Photogrammetry + Shader（ホログラム風）+ VR のデモ😤
電脳空間の片隅に取り残された、壊れた実空間データみたいで非常にエモい……
#Photogrammetry #Shader #VR #VRC http…","1064105596935266304","969747702870196225","2018-11-18 10:38:39 +0000","https://twitter.com/Xin_Games/status/1064105596935266304/video/1"
"1064414870815133701","","","2018-11-19 07:07:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MoguraVR: グーグル、VR用に“モーター内蔵の靴”の特許を出願 - Mogura VR https://t.co/eKWLn3VRfn","1064344370848051201","3010348687","2018-11-19 02:27:27 +0000","https://www.moguravr.com/google-vr-motor/,https://www.moguravr.com/google-vr-motor/"
"1064413140677419008","","","2018-11-19 07:00:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @maitetsu_ps: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるように…","1064369336360390659","955634114115223552","2018-11-19 04:06:39 +0000","https://maitetsucs.com,https://twitter.com/maitetsu_ps/status/1064369336360390659/photo/1"
"1064154133702225920","","","2018-11-18 13:51:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @zidori777: ARIAerになる
デメリット
・『ＡＩ』が『ＩＡ』に見える
・『Ｎ』の書き方を忘れる 

メリット
・ARIA姉妹が居るだけで今日も生きていける！","1063968418175508480","873767879677624320","2018-11-18 01:33:33 +0000",""
